"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","5","952-2262-ND","M20-9990246","CONN HEADER VERT 2POS 2.54MM","","5","0","0.10000","0.50"
"2","10","311-1869-1-ND","CC0805KKX5R8BB106","CAP CER 10UF 25V X5R 0805","","10","0","0.19100","1.91"
"3","10","311-1869-1-ND","CC0805KKX5R8BB106","CAP CER 10UF 25V X5R 0805","","10","0","0.19100","1.91"
"4","10","311-1871-1-ND","CC0805KKX5R8BB475","CAP CER 4.7UF 25V X5R 0805","","10","0","0.23600","2.36"
"5","16","311-1141-1-ND","CC0805KRX7R8BB104","CAP CER 0.1UF 25V X7R 0805","","16","0","0.06200","0.99"
"6","10","475-LGQ976.01-MGNI-35-1CT-ND","LG Q976.01-MGNI-35-1","LED GREEN CLEAR 0603 SMD","","10","0","0.08700","0.87"
"7","10","475-LRQ976.01-P2R2-1CT-ND","LR Q976.01-P2R2-1","LED RED CLEAR 0603 SMD","","10","0","0.08700","0.87"
"8","10","5399-FDN340PCT-ND","FDN340P","20V 3A 1W 70M@4.5V,2A 1V 1 PIECE","","10","0","0.11700","1.17"
"9","2","108-KMR211GLFSCT-ND","KMR211G LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","2","0","0.61000","1.22"
"10","2","497-18367-1-ND","LSM6DSOXTR","INEMO INERTIAL MODULE: 3D ACCELE","","2","0","4.84000","9.68"
"11","2","1267-MMC5983MACT-ND","MMC5983MA","SEN MR I2C/SPI 16-LGA","","2","0","2.93000","5.86"
"12","1","296-50511-1-ND","TVS1400DRVR","UNIDIR  PRECISION SURGE DIODE","","1","0","1.03000","1.03"
"13","10","YAG1237CT-ND","RT0603BRD071KL","RES SMD 1K OHM 0.1% 1/10W 0603","","10","0","0.06700","0.67"
"14","10","YAG1236CT-ND","RT0603BRD0710KL","RES SMD 10K OHM 0.1% 1/10W 0603","","10","0","0.06700","0.67"
"15","10","YAG1696CT-ND","RT0603BRD075K1L","RES SMD 5.1K OHM 0.1% 1/10W 0603","","10","0","0.06700","0.67"

